"description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","rank"
"Former U.S. Representative for Georgia's 6th Congressional District & served as the 23rd U.S. Secretary of @HHSGov. This and @SecPriceMD are archived accounts.",5336,40315,97,3178,,"Tom Price",2007-06-04 19:24:39,FALSE,FALSE,"RepTomPrice","Washington, D.C.","en","6577802",2089,FALSE,"http://pbs.twimg.com/profile_images/732639070501900289/Q1wRZGD3_normal.jpg",135
"U.S. Representative for Kentucky's 4th District, MIT '93 SB, '96 SM",2498,39635,2576,649,"https://t.co/WWJJaM6jJD","Thomas Massie",2012-11-28 02:33:14,FALSE,TRUE,"RepThomasMassie","","en","975200486",1069,FALSE,"http://pbs.twimg.com/profile_images/3593159634/e158b5452b80aa99e9d1c2efd0fc2432_normal.jpeg",136
"Serving NY's 9th District. Chair, Multicultural Media Caucus; Co-Chair, Black Women & Girls Caucus; Co-Chair, Caribbean Caucus, At-Large Member @OfficialCBC.",11040,39471,7140,3827,"https://t.co/HQH7WZMihC","Yvette D. Clarke",2011-01-20 20:14:21,FALSE,TRUE,"RepYvetteClarke","Brooklyn, NY","en","240812994",1209,FALSE,"http://pbs.twimg.com/profile_images/839803455082479616/6wakeeTk_normal.jpg",137
"Proudly representing the Sixth Congressional District of Virginia in the U.S. House of Representatives. Chair of @HouseJudiciary. #VA06",5848,39261,1065,571,"https://t.co/tkJraCTQUg","Bob Goodlatte",2009-05-05 13:18:55,FALSE,TRUE,"RepGoodlatte","Roanoke, VA","en","37920978",1467,FALSE,"http://pbs.twimg.com/profile_images/425647736445079552/aBbh7qXA_normal.jpeg",138
"Member of Congress, Colorado's 1st Congressional District. Chief Deputy Whip & member of Energy and Commerce Committee.",3748,39194,377,11336,"http://t.co/ADHTXH6MGD","Rep. Diana DeGette",2009-04-03 16:41:06,FALSE,TRUE,"RepDianaDeGette","Denver, CO","en","28599820",1361,FALSE,"http://pbs.twimg.com/profile_images/790555040478003200/TD0mvtt2_normal.jpg",139
"Proudly serving WA's 7th District. First Vice Chair @USProgressives, Senior Whip, Budget Vice Ranking. https://t.co/d22w0B7Khj",8402,38386,6146,2210,"https://t.co/bFjm8sRrPs","Rep. Pramila Jayapal",2017-01-02 01:35:46,FALSE,TRUE,"RepJayapal","Seattle, WA","en","815733290955112448",676,FALSE,"http://pbs.twimg.com/profile_images/871075094159695872/jmBhrCzd_normal.jpg",140
"I represent Illinois' 16th District. It's an honor to serve in Congress on @HouseCommerce and @HouseForeign - and to serve as a pilot in the Air National Guard.",6943,37189,1565,973,"https://t.co/GgL4IzZXrZ","Adam Kinzinger",2010-11-24 21:04:11,FALSE,TRUE,"RepKinzinger","Channahon, IL","en","219429281",1292,FALSE,"http://pbs.twimg.com/profile_images/694232632503201794/JoCP5r3E_normal.png",141
"Represents New York's 7th Congressional District in the U.S. House of Representatives.  Top Democrat on House Small Business Committee. Follow us  @HouseSBCDems",3558,37092,337,3824,"https://t.co/Gahd1XU986","Rep. Nydia Velazquez",2010-07-08 18:18:20,FALSE,TRUE,"NydiaVelazquez","NYC and DC","en","164369297",1087,FALSE,"http://pbs.twimg.com/profile_images/938874500124499971/TLJmWp6d_normal.jpg",142
"Proudly serving California's San Fernando Valley in the U.S. Congress. Admission: Some tweets are prepared by my staff on my behalf. RTs are not an endorsement.",1351,35940,2,576,"https://t.co/SyFUwfPtR8","Rep. Brad Sherman",2009-04-10 13:38:03,FALSE,TRUE,"BradSherman","Sherman Oaks, CA","en","30216513",1054,FALSE,"http://pbs.twimg.com/profile_images/938782994591916032/BQlooFe5_normal.jpg",143
"Proudly representing the people of the 2nd District of Massachusetts.",7531,35774,71,507,"https://t.co/f2XcW4hsKs","Jim McGovern",2011-01-24 19:18:36,FALSE,TRUE,"RepMcGovern","Massachusetts","en","242426145",1262,FALSE,"http://pbs.twimg.com/profile_images/721693548572254208/NIfPFRbU_normal.jpg",144
"U.S. Representative for #NY04 (Long Island). Former Nassau County DA. Tweets from Kathleen are signed -kr",2224,35110,0,1047,"http://t.co/XBMpgvbVZ1","Kathleen Rice",2015-01-09 21:18:27,FALSE,TRUE,"RepKathleenRice","Long Island, NY","en","2970462034",532,FALSE,"http://pbs.twimg.com/profile_images/755805100094984192/dxloSyzZ_normal.jpg",145
"Official Twitter account for Rep. Jan Schakowsky, Illinois 9th Congressional District",5897,34827,242,1277,"http://t.co/qdNbWpz49j","Jan Schakowsky",2009-03-13 16:03:17,FALSE,TRUE,"janschakowsky","Chicago, IL","en","24195214",1542,FALSE,"http://pbs.twimg.com/profile_images/778943630123958276/Tg3a8mgI_normal.jpg",146
"I proudly serve Hoosier families in the U.S. Senate. Contact my office at (202) 224-5623 for assistance. You can also visit our website for additional info.",3602,34771,187,499,"https://t.co/IhAAMvhCKv","Senator Todd Young",2011-01-04 22:35:16,FALSE,TRUE,"SenToddYoung","Indiana","en","234128524",1186,FALSE,"http://pbs.twimg.com/profile_images/839534166727360514/sm9KrCLP_normal.jpg",147
"Proudly representing Colorado's Sixth Congressional District | @USMC Combat Vet | FB: RepMikeCoffman | RTs/follow ≠ endorsement",3092,34283,528,1715,"https://t.co/WxboE0uaqn","Rep. Mike Coffman",2009-01-23 19:04:01,FALSE,TRUE,"RepMikeCoffman","Colorado's 6th District","en","19407835",1692,FALSE,"http://pbs.twimg.com/profile_images/950374891366289408/tZeazOhv_normal.jpg",148
"Representing #OH5. Deputy Whip. Member of @HouseCommerce Committee. Chairman of the Digital Commerce & Consumer Protection Subcommittee.",6142,34231,481,5840,"http://t.co/dSKBcpo6FL","U.S. Rep. Bob Latta",2008-07-11 18:33:24,FALSE,TRUE,"boblatta","ÜT: 41.052377,-82.130057","en","15394954",1303,FALSE,"http://pbs.twimg.com/profile_images/621369511636135937/Zk5PgsWw_normal.jpg",149
